source,target,tgt_lng
2016 IEEE 2nd Annual Southern Power Electronics Conference,2016年IEEE第二届南方电力电子年会,
SPEC,SPEC,
"Verma, S.K.","Verma, S.K.",
"Nagar, S.K.","Nagar, S.K.",
Recent Adv. Electr. Electron. Eng.,电气与电子工程最新进展,
"Vijay, D.","Vijay, D.",
"Banu, U.S.","Banu, U.S.",
2016 Online International Conference on Green Engineering and Technologies,2016年绿色工程与技术在线国际会议,
IC-GET,IC-GET,
"Alvarez-Gallegos, J.","Alvarez-Gallegos, J.",
Off-line PID control tuning for a planar parallel robot using DE variants,基于差分进化变体的平面并联机器人离线PID控制整定,
"Wang, C.","Wang, C.",
"Cheng, H.Z.","Cheng, H.Z.",
plant growth simulation algorithm,植物生长模拟算法,
IEEE Trans. Power Syst.,IEEE电力系统汇刊,
"Wang, G.-G.","Wang, G.-G.",
Elephant herding optimization,象群优化,
2015 3rd International Symposium on Computational and Business Intelligence,2015年第三届计算与商业智能国际研讨会,
ISCBI,ISCBI,
"Alavi, A.H.","Alavi, A.H.",
"Gong, D.","Gong, D.",
"A comprehensive review of krill herd algorithm: variants, hybrids and applications",磷虾群算法综述：变体、混合与应用,
"Wang, J.-J.","Wang, J.-J.",
Simulation studies of inverted pendulum based on PID controllers,基于PID控制器的倒立摆仿真研究,
"Wang, Q.","Wang, Q.",
"Spronck, P.","Spronck, P.",
"Tracht, R.","Tracht, R.",
An overview of genetic algorithms applied to control engineering problems,遗传算法在控制工程问题中的应用综述,
Proceedings of the 2003 International Conference on Machine Learning and Cybernetics,2003年机器学习与控制论国际会议论文集,
"Wang, Q.-G.","Wang, Q.-G.",
"Hang, C.-C.","Hang, C.-C.",
"Bi, Q.","Bi, Q.",
A technique for frequency response identification from relay feedback,基于继电反馈的频率响应辨识技术,
"Wolpert, D.H.","Wolpert, D.H.",
"Macready, W.G.","Macready, W.G.",
No free lunch theorems for optimization,无免费午餐优化定理,
"Wong, D.","Wong, D.",
"Leong, H.W.","Leong, H.W.",
"Liu, H.","Liu, H.",
Simulated Annealing for VLSI Design,模拟退火在VLSI设计中的应用,
"Wu, H.","Wu, H.",
"Xu, D.","Xu, D.",
"Yang, M.","Yang, M.",
"Zhang, X.","Zhang, X.",
Surface structure of hydroxyapatite from simulated annealing molecular dynamics simulations,基于模拟退火分子动力学模拟的羟基磷灰石表面结构,
Langmuir,Langmuir,
"Wu, X.","Wu, X.",
"Zhou, Y.","Zhou, Y.",
"Lu, Y.","Lu, Y.",
Elite opposition-based water wave optimization algorithm for global optimization,精英反向水波优化算法用于全局优化,
water wave optimization algorithm,水波优化算法,
"Wu, Z.","Wu, Z.",
"Ma, Y.","Ma, Y.",
multi-objective cuckoo search algorithm,多目标布谷鸟搜索算法,
Appl. Energy,应用能源,
"Xia, S.","Xia, S.",
Application of greenhouse temperature prediction based on pso-rbf neural network,基于粒子群优化径向基函数神经网络的温室温度预测应用,
pso-rbf neural network,PSO-RBF神经网络,
Comput. Eng. Des.,计算机工程与设计,
"Xu, Y.","Xu, Y.",
"Fan, P.","Fan, P.",
"Yuan, L.","Yuan, L.",
A simple and efficient artificial bee colony algorithm,一种简单高效的人工蜂群算法,
"Yachen, Z.","Yachen, Z.",
"Yueming, H.","Yueming, H.",
On PID controllers based on simulated annealing algorithm,基于模拟退火算法的PID控制器研究,
2008 27th Chinese Control Conference,2008年第27届中国控制会议,
"Yadav, S.","Yadav, S.",
"Mishra, A.","Mishra, A.",
Tuning of parameters of PID controller using grey wolf optimizer,基于灰狼优化器的PID控制器参数整定,
SSRN,SSRN,
Optimized PID controller for magnetic levitation system,磁悬浮系统的优化PID控制器,
IFAC-PapersOnLine,IFAC在线论文集,
Performance enhancement of magnetic levitation system using teaching learning based optimization,基于教学优化的磁悬浮系统性能提升,
Alex. Eng. J.,亚历山大工程杂志,
"Yaghoobi, S.","Yaghoobi, S.",
"Mojallali, H.","Mojallali, H.",
Tuning of a PID controller using improved chaotic krill herd algorithm,基于改进混沌磷虾群算法的PID控制器整定,
improved chaotic krill herd algorithm,改进混沌磷虾群算法,
Optik,Optik,
"Yang, B.","Yang, B.",
"Wang, J.","Wang, J.",
"Yu, T.","Yu, T.",
"Yao, W.","Yao, W.",
"Shu, H.","Shu, H.",
"Zeng, F.","Zeng, F.",
Comprehensive overview of meta-heuristic algorithm applications on PV cell parameter identification,元启发式算法在光伏电池参数辨识中的应用综述,
Energy Convers. Manag.,能源转换与管理,
Firefly algorithms for multimodal optimization,多模态优化的萤火虫算法,
International Symposium on Stochastic Algorithms,随机算法国际研讨会,
frequency overshoot,频率超调,
undershoot,下冲,
tie-line power deviation,联络线功率偏差,
natural bats,自然蝙蝠,
sound waves,声波,
echolocation,回声定位,
microbats,微型蝙蝠,
ultra-sound pulses,超声波脉冲,
frequency tuning,频率调谐,
pulse emission,脉冲发射,
wavelength,波长,
detection precision,检测精度,
application illustration flowchart,应用流程图,
real-world problems,实际问题,
hard optimization problems,困难优化问题,
structural Optimization,结构优化,
classification,分类,
electrical power systems,电力系统,
aerospace engineering,航空航天工程,
petroleum engineering,石油工程,
nuclear engineering,核工程,
process plants,过程工厂,
connected tank liquid level control system,连通罐液位控制系统,
mineral oil,矿物油,
food manufacturing,食品制造,
water purification,水净化,
centrally controlled PI controller,集中控制PI控制器,
coal gas turbine,燃气轮机,
non-linear multidimensional process,非线性多维过程,
control loops,控制回路,
speed control,速度控制,
brushless direct current drive,无刷直流驱动器,
microelectromechanical systems (MEMS) gyroscopes,微机电系统陀螺仪,
classical methods of PID parameters tuning,PID参数整定的经典方法,
Ziegler-Nichols tuning method,齐格勒-尼科尔斯整定方法,
closed-loop,闭环,
open-loop,开环,
"Srinivas et al., 2014",Srinivas 等人，2014,
GA-PID controller,GA-PID 控制器,
tuning techniques,调优技术,
three tank level process control systems,三水箱液位过程控制系统,
classic PID controller,经典 PID 控制器,
computer simulation,计算机仿真,
set point tracking,设定点跟踪,
Z-N technique,Z-N 技术,
C-C technique,C-C 技术,
genetic algorithm centered PID methodology,基于遗传算法的 PID 方法,
peak overshoot,峰值超调,
integral square error,积分平方误差,
system dynamics variations,系统动态变化,
nonlinear process control systems,非线性过程控制系统,
transportation lags,传输滞后,
Emmanuel and Inyiama (2015),Emmanuel 和 Inyiama (2015),
robot manipulator controller design strategies,机器人机械臂控制器设计策略,
harsh environs,恶劣环境,
PID controller tuning approaches,PID 控制器调优方法,
conventional Ziegler Nichol’s (ZN) software tool,传统 Ziegler Nichol (ZN) 软件工具,
fuzzy logic,模糊逻辑,
Artificial Neural Network (ANN),人工神经网络 (ANN),
disturbance elimination settling time,扰动消除稳定时间,
PID tuner,PID 调谐器,
Fister et al. (2016),Fister 等人 (2016),
reactive evolutionary algorithms,反应式进化算法,
"reactive, swarm intelligence-based algorithms",反应式群体智能算法,
bat,蝙蝠算法,
hybrid bat,混合蝙蝠算法,
Cuckoo Search (CS),布谷鸟搜索 (CS),
statistical analysis,统计分析,
Dixit and Pragati Joshi (2016),Dixit 和 Pragati Joshi (2016),
automated voltage regulators,自动电压调节器,
synchronous generators,同步发电机,
Automatic Voltage Regulators (AVR),自动电压调节器 (AVR),
rise time,上升时间,
voltage control,电压控制,
Kim and Cho (2006),Kim 和 Cho (2006),
hybrid technique,混合技术,
PID controller for an AVR,AVR 的 PID 控制器,
Bacterial Foraging (BF),细菌觅食 (BF),
test functions,测试函数,
mutation,突变,
crossover,交叉,
step size variation,步长变化,
chemotactic steps,趋化步骤,
bacteria life duration,细菌生命周期,
GA-BF,GA-BF,
GA-PSO,GA-PSO,
"Jhankal and Adhyaru, 2011","Jhankal 和 Adhyaru, 2011",
BFO,BFO,
Escherichia coli,大肠杆菌,
"Niu et al., 2010","Niu 等人, 2010",
"Bayoumi and Salem, 2012","Bayoumi 和 Salem, 2012",
BF-PID,BF-PID,
GA-PID,GA-PID,
"dos Santos Coelho and da Costa Silveira, 2006","dos Santos Coelho 和 da Costa Silveira, 2006",
robotic manipulator,机器人操纵器,
chemotactic step parameter,趋化步长参数,
Uniform,均匀分布,
Gaussian,高斯分布,
Cauchy probability distributions,柯西概率分布,
"Ali and Majhi, 2006","Ali 和 Majhi, 2006",
integral of time error squared,时间误差平方积分,
ISTE,ISTE,
"Korani et al., 2009","Korani 等人, 2009",
"Rajinikanth and Latha, 2012","Rajinikanth 和 Latha, 2012",
"Benbouabdallah and Zhu, 2013","Benbouabdallah 和 Zhu, 2013",
"Huynh et al., 2020","Huynh 等人, 2020",
permanent magnet synchronous motor,永磁同步电机,
"Agarwal et al., 2017","Agarwal 等人, 2017",
Direct Current,直流电,
"Jasim, 2018","Jasim, 2018",
Multi-variable Input and Multi-variable Output,多变量输入多变量输出,
MIMO,MIMO,
"Sivakumar et al., 2016","Sivakumar 等人, 2016",
metaheuristic classification,元启发式分类,
operational procedure,操作流程,
controller variables,控制器变量,
compliance,符合度,
application requirements,应用需求,
non-dominated performance trade-offs,非支配性能权衡,
SA,模拟退火,
natural selection,自然选择,
natural genetics,自然遗传学,
Krishnakumar,Krishnakumar,
Goldberg,Goldberg,
Sreekanth,Sreekanth,
Hari,Hari,
Man,Man,
global search,全局搜索,
natural evolution,自然进化,
probabilistic optimization,概率优化,
local minima,局部极小值,
high dimensionality,高维性,
gradient decent,梯度下降,
Goldenberg,Goldenberg,
Meena,Meena,
Devanshu,Devanshu,
system stability,系统稳定性,
static index,静态指标,
dynamic index,动态指标,
system robustness,系统鲁棒性,
control system,控制系统,
PID parameters,PID参数,
DC motor speed control,直流电机速度控制,
Joseph,Joseph,
power system stability,电力系统稳定性,
Mohammed,Mohammed,
cascade control,级联控制,
Patil,Patil,
Lakhekar,Lakhekar,
Amaral,Amaral,
demand controller calibration,需求控制器校准,
multi-objective mathematical programming,多目标数学规划,
adaptive-optimization tuning approaches,自适应优化整定方法,
controller settings,控制器设置,
Multi-Objective Problem (MOP),多目标问题,
Computational Intelligence (CI),计算智能,
soft computing approaches,软计算方法,
intelligent control,智能控制,
Mathematics,数学,
agricultural engineering,农业工程,
structural design,结构设计,
greenhouse gas emission,温室气体排放,
Medicine,医学,
image processing,图像处理,
telecommunication,电信,
PID controller parameters tuning,PID控制器参数整定,
evolutionary background study,进化背景研究,
controller structures,控制器结构,
tuning MOP(s),整定多目标问题,
PID configuration problems,PID配置问题,
Hajihassani,Hajihassani,
financial,金融,
economics,经济学,
security and military,安全与军事,
biological,生物学,
Khare and Rangnekar,Khare 和 Rangnekar,
structural engineering,结构工程,
hydrological engineering,水文工程,
geotechnical civil engineering,岩土土木工程,
operations research,运筹学,
mechanical engineering,机械工程,
electronics and communication engineering,电子与通信工程,
Liu,Liu,
job scheduling model,作业调度模型,
energy usage,能耗,
profit,利润,
Zhang,Zhang,
swarm robotics flocking motion,群体机器人编队运动,
Dada and Ramlan,Dada 和 Ramlan,
automatic control systems,自动控制系统,
Štimac,Štimac,
active magnetic bearing,主动磁轴承,
rotating shaft,旋转轴,
electromagnetic forces,电磁力,
rotor,转子,
Chang and Chen,Chang 和 Chen,
improved version of the PSO algorithm,改进的粒子群优化算法,
PID control gains,PID控制增益,
Rajesh and Ananda,Rajesh 和 Ananda,
Unmanned Aerial Vehicle (UAV),无人机,
traditional PID controller,传统PID控制器,
Permanent Magnet DC motor,永磁直流电机,
Medewar and Munje,Medewar 和 Munje,
noise immunity,抗噪性,
steady state detection accuracy,稳态检测精度,
Joseph and Dada,Joseph 和 Dada,
Bassi,Bassi,
Integral Time Absolute Error,积分时间绝对误差,
ITAE,ITAE,
Integral Time Square Error,积分时间平方误差,
ITSE,ITSE,
Mean Square Error,均方误差,
Integral Error,积分误差,
Martins (2005),Martins (2005),
da Silva et al. (2019),da Silva 等 (2019),
Jin et al. (2018),Jin 等 (2018),
Soni and Bhatt (2013),Soni 和 Bhatt (2013),
Garpinger et al. (2014),Garpinger 等 (2014),
heating tank,加热罐,
Hussain et al. (2014),Hussain 等 (2014),
Bhawana and Neelu (2017),Bhawana 和 Neelu (2017),
coupled tank system,耦合水箱系统,
trajectory tracking,轨迹跟踪,
Unmanned Aerial Vehicle,无人机,
UAV,UAV,
Gholap et al. (2017),Gholap 等 (2017),
time domain analysis,时域分析,
SA-PID,SA-PID,
PSO-PID,PSO-PID,
engineering,工程,
environmental modeling,环境建模,
medical and bio informatics,医学与生物信息学,
condenser,冷凝器,
ZN tuning scheme,齐格勒-尼科尔斯整定方案,
transient reaction stipulations,暂态响应指标,
voltage regulation,电压调节,
wind turbine,风力发电机,
swarm intelligent algorithm,群体智能算法,
Gandomi and Alavi,Gandomi和Alavi,
biologically motivated approach,生物学启发方法,
Yang and Deb,Yang和Deb,
2009,2009年,
cuckoo,布谷鸟,
brood parasitism,巢寄生,
Cuckoo Optimization Algorithm (COA),布谷鸟优化算法(COA),
function optimization,函数优化,
engineering optimization,工程优化,
scheduling,调度,
planning,规划,
forecasting,预测,
PID controller parameters,PID控制器参数,
Van der Pol oscillator,范德波尔振荡器,
capsizing problem,倾覆问题,
buck-boost converter,升降压变换器,
LED driver circuit,LED驱动电路,
Maximum Power Point Tracking (MPPT),最大功率点跟踪(MPPT),
PV system,光伏系统,
induction motor,感应电机,
derivative term,微分项,
integral term,积分项,
reset time,复位时间,
integral time,积分时间,
integral gain,积分增益,
error term,误差项,
error signal,误差信号,
set value,设定值,
actual output,实际输出,
proportional factor,比例因子,
integrative action,积分作用,
differential action,微分作用,
proportional gain,比例增益,
current error term,当前误差项,
past error term,过去误差项,
future error term,未来误差项,
linear mathematical model,线性数学模型,
manual mode,手动模式,
automatic mode,自动模式,
industrial control structure,工业控制结构,
control loop feedback mechanism,控制回路反馈机制,
set point,设定点,
steady-state mistake,稳态误差,
gain,增益,
Muliadi,Muliadi,
Kusumoputro,Kusumoputro,
Mange,Mange,
Kushwah,Kushwah,
Patra,Patra,
Whale optimization implementation flow diagram,鲸鱼优化实现流程图,
two-area interconnected non-reheat thermal power systems,两区域互联无再热火力发电系统,
Bhatt et al. (2019),Bhatt等人(2019),
Debnath et al. (2018),Debnath等人(2018),
Whale Optimization technique,鲸鱼优化技术,
multi-generation type unified system,多代类型统一系统,
Whale optimizer algorithm,鲸鱼优化算法,
2-DOF robot manipulator,二自由度机器人操纵器,
Loucif et al. (2020),Loucif等人(2020),
WOA-PID,WOA-PID,
Mosaad et al. (2019a),Mosaad等人(2019a),
Hekimoğlu et al. (2018),Hekimoğlu等人(2018),
high-performance drilling machine,高性能钻机,
Kumar and Kumar (2018),Kumar和Kumar(2018),
Heuristic algorithms,启发式算法,
Yang (2011),Yang(2011),
No-Free-Lunch assertions,无免费午餐论断,
Wolpert et al. (1997),Wolpert等人(1997),
single-objective optimization,单目标优化,
pheromone,信息素,
ACO,ACO,
PhD thesis,博士论文,
offline pheromone update,离线信息素更新,
pheromone evaporation,信息素蒸发,
Adubi and Misra,Adubi and Misra,
Sundareswaran and Nayak,Sundareswaran and Nayak,
robotic arm,机械臂,
Sandoval et al.,Sandoval等人,
ZN tuned PID,Z-N整定PID,
Priyambodo et al.,Priyambodo等人,
quadrotor,四旋翼飞行器,
Aabid et al.,Aabid等人,
optimal PID regulator,最优PID调节器,
human heart control,人类心脏控制,
re-heat thermal power system,再热火力发电系统,
Kaliannan et al.,Kaliannan等人,
Autonomous Underwater Vehicle,自主水下航行器,
AUV,自主水下航行器,
Herlambang et al.,Herlambang等人,
Yunus and Djalal,Yunus and Djalal,
Simsek et al.,Simsek等人,
multi objective ACO,多目标蚁群优化算法,
Chiha et al.,Chiha等人,
single objective constrained optimization,单目标约束优化,
Metropolis,Metropolis,
Monte-Carlo iterative approach,蒙特卡洛迭代法,
South Africa,南非,
Kirkpatrick,Kirkpatrick,
Cerny,Cerny,
solid annealing,固体退火,
VLSI design,VLSI设计,
molecular physics,分子物理学,
chemistry,化学,
job shop scheduling,作业车间调度,
multi-objective problem,多目标问题,
controllers,控制器,
stabilization time,稳定时间,
Lequin et al.,Lequin等人,
Freeman et al.,Freeman等人,
Hang et al.,Hang等人,
performance criteria,性能标准,
plant characteristics,被控对象特性,
controller structure,控制器结构,
tunable controller variables,可调控制器变量,
multi-objective optimization,多目标优化,
fuzzy-logic,模糊逻辑,
ZN,齐格勒-尼科尔斯方法,
process reaction curve,过程反应曲线,
Fuzzy Set-Point Weight (FSPW),模糊设定点加权 (FSPW),
PRC,过程反应曲线,
Ziegler and Nichols method,齐格勒-尼科尔斯方法,
Cohen Coon method,科恩-库恩方法,
Artificial Immune Systems (AIS),人工免疫系统 (AIS),
Bacteria Forage Technique (BFT),细菌觅食技术 (BFT),
Differential Evolution (DE),差分进化 (DE),
EP,进化规划,
ANN,人工神经网络,
Support Vector Machine (SVM),支持向量机 (SVM),
Response Surface Method (RSM),响应面法 (RSM),
Jain et al.,Jain 等,
Ghosal et al.,Ghosal 等,
Bacterial Foraging Optimization (BFOA),细菌觅食优化 (BFOA),
Kaveh and Zaerreza (2020),Kaveh和Zaerreza (2020),
optimization,优化,
constrained optimization,约束优化,
dynamic and noisy environment applications,动态和噪声环境应用,
electric and power systems,电力系统,
wireless and network systems,无线和网络系统,
neural network training,神经网络训练,
clustering,聚类,
industrial controllers,工业控制器,
Younesi and Tohidi (2015),Younesi和Tohidi (2015),
KH algorithm,KH算法,
PID,PID,
frequency stability,频率稳定性,
isolated wind-diesel power system,孤立风柴电力系统,
Shayanfar et al. (2015),Shayanfar等人 (2015),
Bee Colony algorithm,蜂群算法,
BC-based PID controllers (BC-PID),基于BC的PID控制器 (BC-PID),
KH-based PID controllers (KH-PID),基于KH的PID控制器 (KH-PID),
First Order Plus Dead Time system (FOPDT),一阶加死区系统 (FOPDT),
fourth order system,四阶系统,
Alikhani et al. (2013),Alikhani等人 (2013),
PID-KH algorithm,PID-KH算法,
state microgrid system,状态微电网系统,
Regad et al. (2020),Regad等人 (2020),
objective function,目标函数,
Power System Stabilizer,电力系统稳定器,
Mukherjee et al. (2019),Mukherjee等人 (2019),
Power System Restoration (PSR) Indices,电力系统恢复(PSR)指标,
Chandrasekar et al. (2017),Chandrasekar等人 (2017),
Alam et al. (2016),Alam等人 (2016),
Yaghoobi and Mojallali (2016),Yaghoobi和Mojallali (2016),
Mirjalili and Lewis (2016),Mirjalili和Lewis (2016),
Whale Optimization Algorithm (WOA),鲸鱼优化算法 (WOA),
stochastic metaheuristic algorithm,随机元启发式算法,
humpback whales,座头鲸,
bumpless transfer,无扰切换,
Anthony and Ho (2020),Anthony and Ho (2020),
PID performance evaluation,PID性能评估,
tuning,整定,
stable processes,稳定过程,
Cohen (1953),Cohen (1953),
Zhuang and Atherton (1993),Zhuang and Atherton (1993),
integrating and unstable processes,积分和不稳定过程,
Tan et al. (1999),Tan et al. (1999),
multivariate processes,多变量过程,
Luyben (1986),Luyben (1986),
performance measurements,性能测量,
minimum variance,最小方差,
Huang and Shah (1999),Huang and Shah (1999),
Harris (1989),Harris (1989),
closed loop performance,闭环性能,
Tan et al. (2004),Tan et al. (2004),
Qin (1998),Qin (1998),
Huang et al. (1997),Huang et al. (1997),
setpoint tracking,设定点跟踪,
gain-phase margin,增益相位裕度,
Integral Absolute Error,积分绝对误差,
"Bansal et al., 2014",Bansal 等人，2014,
"Suman et al., 2010",Suman 等人，2010,
OSA,OSA,
"Yachen and Yueming, 2008",Yachen 和 Yueming，2008,
SA algorithm,SA算法,
motion control system,运动控制系统,
constant disturbance,恒定干扰,
permanent magnet brushless dc motor,永磁无刷直流电机,
PMBLDCMPID,PMBLDCMPID,
"Shatnawi and Bayoumi, 2019",Shatnawi 和 Bayoumi，2019,
response parameters index,响应参数指标,
maximum overshoot,最大超调量,
SA optimization approach,SA优化方法,
PID/PI controller,PID/PI控制器,
"Lahcene et al., 2017",Lahcene 等人，2017,
attitude control system,姿态控制系统,
re-entry capsule,再入舱,
"Vijay and Banu, 2016",Vijay 和 Banu，2016,
DC-DC power converters,DC-DC电源转换器,
"Alqudah et al., 2014",Alqudah 等人，2014,
"Siddique and Adeli, 2016",Siddique 和 Adeli，2016,
"Suman and Kumar, 2006",Suman 和 Kumar，2006,
"Sibalija, 2018",Sibalija，2018,
"Varty, 2017",Varty，2017,
metaheuristic optimization algorithm,元启发式优化算法,
"Mirjalili et al., 2014",Mirjalili 等人，2014,
social hierarchy,社会等级,
hunting tactics,狩猎策略,
social dominant hierarchy,社会优势等级,
candidate solution,候选解,
hunting behavior,狩猎行为,
"Goldbogen et al., 2013",Goldbogen 等人，2013,
"Muro et al., 2011",Muro 等人，2011,
prey,猎物,
fuzzy logic algorithms,模糊逻辑算法,
Ghosal et al. (2012),Ghosal等(2012),
Swam intelligence computation,群体智能计算,
tuning strategies,整定策略,
CHR,CHR,
Sen et al. (2015),Sen等(2015),
Shahrokhi and Zomorrodi (2012),Shahrokhi和Zomorrodi(2012),
Talbi (2009),Talbi(2009),
heuristics,启发式算法,
randomization,随机化,
stochastic algorithms,随机算法,
global exploration,全局探索,
Classification of metaheuristic algorithms,元启发式算法分类,
nature-inspired,自然启发型,
non-nature-inspired,非自然启发型,
evolutionary,进化型,
physics-based,物理型,
swarm-based,群体型,
human-based algorithms,人类型算法,
population,群体,
single point search,单点搜索,
dynamic,动态的,
static,静态的,
memory utilization,记忆利用,
memory-less approaches,无记忆方法,
neighborhood structures,邻域结构,
Beheshti and Shamsuddin (2013),Beheshti和Shamsuddin(2013),
Nojhan (2007),Nojhan(2007),
Jackson et al. (2018),Jackson等(2018),
single-solution,单解,
multiple-solution problems,多解问题,
Passino,Passino,
Bacteria Foraging Optimization,细菌觅食优化,
Chemotaxis,趋化性,
Das et al.,Das等,
Datta and Nandakumar,Datta和Nandakumar,
Jhankal and Adhyaru,Jhankal和Adhyaru,
Huynh et al.,Huynh等,
Agrawal et al.,Agrawal等,
Niu et al.,Niu等,
Tang and Wu,Tang和Wu,
Rani and Kumar,Rani和Kumar,
spindle cells,纺锤体细胞,
"Hof and Van der Gucht, 2007","Hof and Van der Gucht, 2007",
prey encirclement,猎物包围,
bubble nets,气泡网,
fitness function,适应度函数,
search agent,搜索代理,
position update,位置更新,
objective functions,目标函数,
electrical engineering,电气工程,
civil engineering,土木工程,
computer networks,计算机网络,
industrial engineering,工业工程,
task scheduling,任务调度,
nonlinear loads,非线性负载,
variable operating points,可变工作点,
time delays,时延,
"Mirjalili and Lewis, 2016","Mirjalili and Lewis, 2016",
"Gharehchopogh and Gholizadeh, 2019","Gharehchopogh and Gholizadeh, 2019",
"Adhirai et al., 2018","Adhirai et al., 2018",
"Mirjalili et al., 2020","Mirjalili et al., 2020",
"Mohammed et al., 2019","Mohammed et al., 2019",
"Kaveh and Rastegar Moghaddam, 2018","Kaveh and Rastegar Moghaddam, 2018",
"Algabalawy et al., 2018","Algabalawy et al., 2018",
"Elhosseini et al., 2019","Elhosseini et al., 2019",
"Pham et al., 2020","Pham et al., 2020",
"Khalilpourazari et al., 2019","Khalilpourazari et al., 2019",
"Chen et al., 2020","Chen et al., 2020",
"Saha and Saikia, 2017","Saha and Saikia, 2017",
Kennedy and Eberhart (1995),Kennedy和Eberhart（1995）,
PSO algorithm,PSO算法,
de Almeida and Leite (2019),de Almeida和Leite（2019）,
social activities,社会活动,
birds,鸟类,
fish shoals,鱼群,
humans,人类,
Ribeiro et al. (2017),Ribeiro等人（2017）,
social behavior,社会行为,
neighbors,邻居,
past performance,过去表现,
surroundings,环境,
culture’s adjustment process,文化适应过程,
assess,评估,
compare,比较,
mimic,模仿,
mental talents,心理才能,
flow diagram,流程图,
Song and Gu (2004),Song和Gu（2004）,
optimization capability,优化能力,
parameters,参数,
population diversity,种群多样性,
electronics,电子学,
network security,网络安全,
mute selection,静音选择,
emergent system identification,涌现系统辨识,
performance metrics,性能指标,
metaheuristic optimization algorithms,元启发式优化算法,
open research problems,开放性研究问题,
metaheuristic optimization approaches,元启发式优化方法,
industrial practitioners,工业从业者,
Cohen-Coon tuning method,Cohen-Coon整定方法,
Cohen,Cohen,
Coon,Coon,
First Order Plus Time Delay (FOLPD) model,一阶加时滞模型,
load turbulence,负载扰动,
Hambali et al.,Hambali等人,
Azman et al.,Azman等人,
Ziegler Nichols approach,Ziegler-Nichols方法,
Gain and Phase Method,增益相位法,
automatic loop tuners,自动回路整定器,
ZN test,ZN测试,
relay nonlinearity,继电器非线性,
Nyquist curve,奈奎斯特曲线,
controller pretuning parameters,控制器预整定参数,
Nyquist plot,奈奎斯特图,
phase margin,相位裕度,
gain margin,增益裕度,
robust loop shaping strategy,鲁棒回路整形策略,
McFarlane,McFarlane,
Glover,Glover,
"Chien, Hrones, and Reswick (CHR) technique",Chien-Hrones-Reswick (CHR) 技术,
ZN Open Loop technique,ZN开环技术,
proportional term,比例项,
proportional parameter,比例参数,
steady state error,稳态误差,
derivative time,微分时间,
closed loop time constant,闭环时间常数,
Nagaraj et al. (2008),Nagaraj 等人 (2008),
armature control,电枢控制,
continuous cycle approach,连续循环方法,
ZN step response methodology,ZN 阶跃响应方法,
Evolutionary Programming (EP),进化规划 (EP),
steady state characteristics,稳态特性,
Zulu and John (2014),Zulu 和 John (2014),
quadrotors,四旋翼飞行器,
hybrid control structures,混合控制结构,
adaptability,适应性,
optimality,最优性,
tracking ability,跟踪能力,
Linear Quadratic Regulator (LQR),线性二次调节器 (LQR),
Sliding mode,滑模,
Backstepping,反步,
Feedback linearization,反馈线性化,
Adaptive,自适应,
Robust,鲁棒,
Optimal,最优,
Divya and Nirmalkumar (2018),Divya 和 Nirmalkumar (2018),
A Survey on Tuning of PID Controller for Industrial Process Using Soft Computing Techniques,基于软计算技术的工业过程PID控制器整定综述,
Neural Networks (NN),神经网络 (NN),
Kumar and Bawa,Kumar and Bawa,
Shaheen et al.,Shaheen等,
DrEO et al.,DrEO等,
Beheshti and Shamsuddin,Beheshti and Shamsuddin,
Gogna and Tayal,Gogna and Tayal,
Hussien et al.,Hussien等,
Abdel-Basset et al.,Abdel-Basset等,
Fig. 4,图4,
meta-heuristics algorithms classification/taxonomy,元启发式算法分类/分类法,
BoussaïD et al.,BoussaïD等,
analytical classical PID tuning techniques,解析经典PID整定技术,
Ribeiro et al.,Ribeiro等,
Reis et al.,Reis等,
optimization approach,优化方法,
steady-state regime,稳态,
heuristic techniques,启发式技术,
Latha et al.,Latha等,
architectural simplicity,结构简单性,
fast response,快速响应,
traditional optimization approaches,传统优化方法,
higher-dimensional optimization problems,高维优化问题,
block diagram,框图,
Literature review,文献综述,
PID parameters optimization,PID参数优化,
ant-colony algorithm,蚁群算法,
International Conference on Automation and Computing,自动化与计算国际会议,
ICAC,ICAC,
Optimal tuning of PID controllers,PID控制器最优整定,
IEEE/ASME International Conference on Advanced Intelligent Mechatronics,IEEE/ASME先进智能机电一体化国际会议,
Offline auto-tuning of a PID controller,PID控制器离线自整定,
extended classifier system (XCS) algorithm,扩展分类器系统(XCS)算法,
Journal of Advanced Computer Engineering and Technology,高级计算机工程与技术杂志,
Modified cuckoo search algorithm,改进布谷鸟搜索算法,
rough sets,粗糙集,
Neural Computing and Applications,神经计算与应用,
Meng et al. (2014),Meng 等 (2014),
Basic Krill Head application flow diagram,基本 Krill Head 应用流程图,
expert,专家,
scientist,科学家,
Gandomi and Alavi (2012),Gandomi 和 Alavi (2012),
Li et al. (2014a),Li 等 (2014a),
Wang et al. (2019),Wang 等 (2019),
engineering problem,工程问题,
continuous optimization,连续优化,
combinatorial,组合优化,
Integral term (I),积分项 (I),
offset,偏移,
system,系统,
reaction speed,反应速度,
oscillations,振荡,
integral control,积分控制,
proportional control,比例控制,
error,误差,
Reset rate,复位速率,
time factor,时间因子,
Iout,Iout,
integral part,积分部分,
controller output,控制器输出,
Wu et al. (2017),Wu等人(2017),
Primal-Dual Asynchronous Particle Swarm Optimization (pdAPSO),原始-对偶异步粒子群优化(pdAPSO),
Dada et al. (2017),Dada等人(2017),
